,0,1,2,3,4
0,Huntington Ingalls Industries Inc,147.14 - 279.71,"234,246",7.612B,1.23
1,Southwest Airlines Co,28.25 - 58.83,"27,342,178",14.899B,1.63
2,Assured Guaranty Ltd,13.64 - 50.77,"297,221",2.684B,1.35
3,Akamai Technologies Inc,73.19 - 108.25,"1,147,866",15.492B,0.32
4,RH,73.14 - 256.27,"713,211",2.64B,2.23
5,Verisk Analytics Inc,116.61 - 171.73,"471,613",24.848B,0.68
6,Entergy Corp,75.19 - 135.55,"525,161",18.668B,0.65
7,KeyCorp,7.45 - 20.53,"5,030,163",10.687B,1.62
8,Markel Corp,"710.52 - 1,347.64","43,577",11.446B,0.83
9,Zions Bancorp NA,23.58 - 52.48,"3,003,769",5.021B,1.71
10,Apple Inc,170.27 - 327.85,"48,383,971",1.276T,N/A
11,Amazon.com Inc,"1,626.03 - 2,475.00","7,963,572",1.148T,1.25
12,Microsoft Corp,119.01 - 190.70,"26,071,238",1.327T,0.96
13,Mastercard Inc A,199.99 - 347.25,"3,514,145",269.149B,1.07
14,Alphabet Inc Class C,"1,013.54 - 1,532.11","1,375,558",900.084B,1.05
15,UnitedHealth Group Inc,187.72 - 306.71,"2,039,455",267.732B,0.63
16,Facebook Inc A,137.10 - 224.20,"23,430,172",574.632B,1.07
17,Alphabet Inc A,"1,008.87 - 1,530.74","1,583,775",902.332B,1.05
18,PayPal Holdings Inc,82.07 - 124.45,"3,419,208",140.911B,0.94
19,Visa Inc Class A,133.93 - 214.17,"6,969,439",391.082B,0.94
20,Verizon Communications Inc,48.84 - 62.22,"9,154,016",234.861B,0.43
21,Pfizer Inc,27.88 - 44.56,"14,394,754",208.147B,0.60
22,Roche Holding AG ADR,31.81 - 46.00,"672,358",288.801B,0.32
23,Berkshire Hathaway Inc B,undefined - undefined,N/A,N/A,N/A
24,Wells Fargo & Co,25.11 - 54.75,"26,837,075",112.16B,1.35
25,Comcast Corp Class A,31.71 - 47.74,"12,124,891",168.532B,1.00
26,Samsung Electronics Co Ltd,"40,850.00 - 62,800.00","15,491,409",332.561T,0.93
27,Alibaba Group Holding Ltd ADR,147.95 - 231.14,"17,769,429",522.803B,1.82
28,SK Hynix Inc,"62,400.00 - 106,000.00","3,703,336",57.251T,0.61
29,NetEase Inc ADR,209.01 - 367.52,"521,879",42.318B,0.76
30,JD.com Inc ADR,25.48 - 47.98,"11,048,856",60.683B,0.97
31,Hon Hai Precision Industry Co Ltd,65.70 - 93.40,"49,268,000",1.067T,0.63
32,Ansys Inc,174.25 - 299.06,"422,561",21.855B,1.26
33,Wingstop Inc,44.27 - 120.71,"460,286",3.492B,0.77
34,Insulet Corp,88.38 - 219.85,"284,658",12.27B,0.84
35,Mercury Systems Inc,52.24 - 96.29,"275,899",4.813B,0.90
36,Bio-Techne Corp,155.17 - 229.00,"492,353",8.727B,1.05
37,Alteryx Inc Class A,75.17 - 160.11,"2,253,050",6.959B,1.39
38,Cognex Corp,35.20 - 59.14,"1,253,409",8.998B,1.71
39,Natera Inc,16.87 - 41.80,"656,558",2.758B,1.26
40,Nevro Corp,54.00 - 148.05,"329,931",3.753B,0.85
41,Paycom Software Inc,163.42 - 342.00,"1,266,777",13.928B,1.45
42,Williams Companies Inc,8.41 - 29.06,"12,231,920",22.516B,1.56
43,Enbridge Inc,33.06 - 57.32,"7,267,401",85.074B,1.05
44,Kinder Morgan Inc Class P,9.42 - 22.58,"15,048,781",32.968B,1.04
45,Cosan Logistica SA,10.73 - 24.14,"1,008,500",7.113B,0.85
46,Vinci SA,54.76 - 107.35,"1,836,643",41.252B,0.80
47,CCR SA,7.86 - 15.80,"6,738,900",24.947B,0.77
48,Crown Castle International Corp,114.18 - 168.75,"1,272,598",65.184B,0.29
49,American Tower Corp,174.32 - 260.43,"1,204,893",103.982B,0.40
50,Moody's Corporation,164.19 - 287.25,"659,314",45.274B,1.18
51,CarMax Inc,37.59 - 103.18,"1,996,670",11.554B,1.46
52,O'Reilly Automotive Inc,251.52 - 454.31,"548,529",27.926B,0.85
53,SBA Communications Corp,199.22 - 317.11,"569,037",32.175B,0.38
54,Roper Technologies Inc,240.00 - 395.00,"498,278",35.464B,1.08
55,Constellation Software Inc,"1,076.34 - 1,524.42","32,541",28.624B,0.62
56,Salesforce.com Inc,115.29 - 195.72,"2,754,261",139.683B,1.10
57,Adobe Inc,255.13 - 386.75,"1,735,298",165.638B,0.94
58,Monster Beverage Corp,50.06 - 70.52,"1,712,750",31.34B,1.03
59,Zoetis Inc Class A,90.14 - 146.26,"1,684,112",60.565B,0.79
60,Vertex Pharmaceuticals Inc,164.07 - 277.80,"1,114,362",66.125B,1.01
61,Intuitive Surgical Inc,360.50 - 619.00,"667,315",58.242B,1.04
62,Compass Group PLC,"20.62 - 2,150.00","2,267,722",20.185B,0.50
63,Arch Capital Group Ltd,22.54 - 48.32,"2,156,454",9.433B,1.00
64,RELX PLC,"1,382.86 - 2,109.00","2,104,147",34.734B,0.25
65,Novartis AG,0.2150 - 3.7200,"3,764,933",24.082M,-0.01
66,NAVER Corp,"106,500.00 - 200,000.00","675,119",28.71T,N/A
67,Fresenius Medical Care AG & Co. KGaA,53.50 - 81.10,"1,131,096",21.53B,1.01
68,Cie Financiere Richemont SA,47.69 - 103.75,"622,419",4.273B,N/A
69,Equinix Inc,464.40 - 715.75,"217,734",57.919B,0.39
70,Prologis Inc,59.82 - 99.79,"2,511,536",64.19B,1.01
71,Digital Realty Trust Inc,105.00 - 158.36,"1,270,444",39.137B,0.18
72,Alexandria Real Estate Equities Inc,109.22 - 175.74,"427,545",19.192B,0.83
73,MSCI Inc,206.82 - 344.00,"319,301",26.779B,0.98
74,Nike Inc B,60.00 - 105.62,"4,405,196",133.266B,0.82
75,Erste Group Bank AG.,39.11 - 83.01,"663,583",4.124B,N/A
76,Gerresheimer AG,50.65 - 74.80,"103,356",2.287B,0.88
77,NextEra Energy Inc,174.80 - 283.35,"2,292,035",111.13B,0.31
78,JPMorgan Chase & Co,76.91 - 141.10,"12,794,498",283.572B,1.29
79,Procter & Gamble Co,94.34 - 128.09,"5,049,375",288.932B,0.39
80,S&P Global Inc,186.06 - 312.94,"723,127",69.112B,0.97
81,Ecolab Inc,124.60 - 211.24,"1,324,903",54.942B,0.84
82,Danaher Corp,119.60 - 170.64,"1,315,863",112.103B,0.77
83,Johnson & Johnson,109.16 - 157.00,"3,976,256",387.939B,0.66
84,Fidelity National Information Services Inc,91.68 - 158.21,"2,211,242",79.867B,0.69
85,Medtronic PLC,72.13 - 122.15,"3,147,988",126.914B,0.70
86,Merck & Co Inc,65.25 - 92.64,"6,592,150",195.884B,0.56
87,Fortinet Inc,68.87 - 121.82,"775,571",16.821B,1.01
88,Oracle Corp,39.71 - 60.50,"5,544,187",162.63B,0.90
89,Allstate Corp,64.13 - 125.92,"2,131,018",31.558B,0.93
90,CoStar Group Inc,482.10 - 746.70,"370,812",22.882B,1.19
91,FactSet Research Systems Inc,195.22 - 310.25,"263,024",10.204B,0.82
92,Tyler Technologies Inc,205.90 - 340.80,"325,917",12.516B,N/A
93,Veeva Systems Inc Class A,118.11 - 195.90,"1,042,362",28.026B,0.81
94,Quidel Corp,52.49 - 143.97,"489,411",5.847B,0.71
