,id,title,href,price_50_average
0,FSENX,Fidelity Select Energy Portfolio,/quote/FSENX?p=FSENX,18.67
1,FAGNX,Fidelity Advisor Energy Fund Class M,/quote/FAGNX?p=FAGNX,14.82
2,FANIX,Fidelity Advisor Energy Fund I Class,/quote/FANIX?p=FANIX,15.24
3,RMBKX,RMB Mendon Financial Services Fund Class A,/quote/RMBKX?p=RMBKX,25.54
4,RMBNX,RMB Mendon Financial Services Fund Class C,/quote/RMBNX?p=RMBNX,22.87
5,UMPIX,ProFunds UltraMid Cap Fund Investor Class,/quote/UMPIX?p=UMPIX,23.64
6,UMPSX,ProFunds UltraMid Cap Fund Service Class,/quote/UMPSX?p=UMPSX,19.22
7,VGELX,Vanguard Energy Fund Admiral Shares,/quote/VGELX?p=VGELX,54.33
8,GSOFX,GMO Special Opportunities Fund Class VI,/quote/GSOFX?p=GSOFX,13.19
9,VGENX,Vanguard Energy Fund Investor Shares,/quote/VGENX?p=VGENX,28.96
10,FFBFX,Emerald Banking and Finance Fund Investor Class,/quote/FFBFX?p=FFBFX,21.39
11,HSSIX,Emerald Banking and Finance Fund Institutional Class,/quote/HSSIX?p=HSSIX,23.36
12,HSSCX,Emerald Banking and Finance Fund Class C,/quote/HSSCX?p=HSSCX,19.23
13,HSSAX,Emerald Banking and Finance Fund Class A,/quote/HSSAX?p=HSSAX,22.70
14,HWSCX,Hotchkis & Wiley Small Cap Value Fund Class C,/quote/HWSCX?p=HWSCX,26.80
15,HWSIX,Hotchkis & Wiley Small Cap Value Fund Class I,/quote/HWSIX?p=HWSIX,33.51
16,HWSAX,Hotchkis & Wiley Small Cap Value Fund Class A,/quote/HWSAX?p=HWSAX,33.36
17,MMEYX,Victory Integrity Discovery Fund Class Y,/quote/MMEYX?p=MMEYX,23.39
18,MMEAX,Victory Integrity Discovery Fund Class A,/quote/MMEAX?p=MMEAX,21.10
19,MMERX,Victory Integrity Discovery Fund Class R,/quote/MMERX?p=MMERX,19.74
20,RYCVX,Rydex Dow 2x Strategy Fund Class H,/quote/RYCVX?p=RYCVX,64.86
21,RYLDX,Rydex Dow 2x Strategy Fund Class A,/quote/RYLDX?p=RYLDX,65.09
22,RYCYX,Rydex Dow 2x Strategy Fund Class C,/quote/RYCYX?p=RYCYX,56.69
23,UBVLX,Undiscovered Managers Behavioral Value Fund Class L,/quote/UBVLX?p=UBVLX,39.66
24,UBVAX,Undiscovered Managers Behavioral Value Fund Class A,/quote/UBVAX?p=UBVAX,38.62
25,SIPIX,SEI Institutional Managed Trust Mid-Cap Portfolio Fund Class I,/quote/SIPIX?p=SIPIX,19.00
26,CAEEX,Columbia Acorn European Fund Institutional 2 Class,/quote/CAEEX?p=CAEEX,16.97
27,CAAPX,Ariel Appreciation Fund Investor Class,/quote/CAAPX?p=CAAPX,32.36
28,NWGSX,Nationwide WCM Focused Small Cap Fund Institutional Service Class,/quote/NWGSX?p=NWGSX,17.88
29,PVIVX,Paradigm Micro-Cap Fund,/quote/PVIVX?p=PVIVX,22.62
30,NWGPX,Nationwide WCM Focused Small Cap Fund Class A,/quote/NWGPX?p=NWGPX,17.03
