abbrivate_funds,funds_title,stock_title,stock_href,abbrivate_stock,holding,,
AASCX,Thrivent Mid Cap Stock Fund Class A (AASCX),Huntington Ingalls Industries Inc,/quote/HII?p=HII,HII,3.33%,,
AASCX,Thrivent Mid Cap Stock Fund Class A (AASCX),Southwest Airlines Co,/quote/LUV?p=LUV,LUV,3.17%,,
AASCX,Thrivent Mid Cap Stock Fund Class A (AASCX),Assured Guaranty Ltd,/quote/AGO?p=AGO,AGO,2.53%,,
AASCX,Thrivent Mid Cap Stock Fund Class A (AASCX),Akamai Technologies Inc,/quote/AKAM?p=AKAM,AKAM,2.48%,,
AASCX,Thrivent Mid Cap Stock Fund Class A (AASCX),RH,/quote/RH?p=RH,RH,2.45%,,
AASCX,Thrivent Mid Cap Stock Fund Class A (AASCX),Verisk Analytics Inc,/quote/VRSK?p=VRSK,VRSK,2.38%,,
AASCX,Thrivent Mid Cap Stock Fund Class A (AASCX),Entergy Corp,/quote/ETR?p=ETR,ETR,2.28%,,
AASCX,Thrivent Mid Cap Stock Fund Class A (AASCX),KeyCorp,/quote/KEY?p=KEY,KEY,2.28%,,
AASCX,Thrivent Mid Cap Stock Fund Class A (AASCX),Markel Corp,/quote/MKL?p=MKL,MKL,2.23%,,
AASCX,Thrivent Mid Cap Stock Fund Class A (AASCX),Zions Bancorp NA,/quote/ZION?p=ZION,ZION,2.22%,,
ACSLX,American Century Select Fund C Class (ACSLX),Apple Inc,/quote/AAPL?p=AAPL,AAPL,9.84%,,
ACSLX,American Century Select Fund C Class (ACSLX),Amazon.com Inc,/quote/AMZN?p=AMZN,AMZN,7.04%,,
ACSLX,American Century Select Fund C Class (ACSLX),Microsoft Corp,/quote/MSFT?p=MSFT,MSFT,6.33%,,
ACSLX,American Century Select Fund C Class (ACSLX),Mastercard Inc A,/quote/MA?p=MA,MA,5.54%,,
ACSLX,American Century Select Fund C Class (ACSLX),Alphabet Inc Class C,/quote/GOOG?p=GOOG,GOOG,5.10%,,
